Code,Title,Description
document,Document,A fee payable for access to bidding documents.
deposit,Deposit,A refundable fee payable for the submission of bids.
submission,Submission,A non-refundable fee payable for the submission of bids.
win,Win,A fee payable by the winning bidder.
