Field Name,Description,Format
id,"A local identifier for this milestone, unique within this block. This field is used to keep track of multiple revisions of a milestone through the compilation from release to record mechanism."," string, integer"
title,Milestone title, string
description,A description of the milestone., string
dueDate,The date the milestone is due.,date-time string
dateModified,The date the milestone was last reviewed or modified and the status was altered or confirmed to still be correct.,date-time string
status,"The status that was realized on the date provided in dateModified, drawn from the <a href=""http://ocds.open-contracting.org/standard/r/1__0__RC/en/schema/codelists#milestone-status"">milestoneStatus codelist</a>.", string
documents,"List of documents associated with this milestone. See <a href=""#document"">Document</a> section for further details.",Object Array
