Field Name,Description,Format
budget," See <a href=""#budget"">Budget</a>",Reference
rationale,The rationale for the procurement provided in free text. More detail can be provided in an attached document., string
documents,"A list of documents related to the planning process. See <a href=""#document"">Document</a> section for further details.",Object Array
