Field Name,Description,Format
property,"The property name that has been changed relative to the place the amendment is. For example if the contract value has changed, then the property under changes within the contract.amendment would be value.amount. ", string
former_value,"The previous value of the changed property, in whatever type the property is."," string, number, integer, array, object"
