Field Name,Description,Format
id,A local identifier to reference and merge the items by. Must be unique within a given array of items.," string, integer"
description,"A description of the goods, services to be provided.", string
classification,[Consult codelist] The primary classification for the item. See the codelists to know which are preferred schemas. See [Identifier](identifier),Reference
additionalClassifications,[Consult codelist] The primary classification for the item. See the codelists to know which are preferred schemas. See [Identifier](identifier) section for further details.,Object Array
quantity,The number of units required, integer
unit,"Description of the unit which the good comes in e.g. hours, kilograms", object
