Field Name,Description,Format
scheme,"Organization identifiers be drawn from an existing identification scheme. This field is used to indicate the scheme or codelist in which the identifier will be found. This value should be drawn from the <a href=""http://ocds.open-contracting.org/standard/r/1__0__RC/en/schema/codelists/#organization-identifier-scheme"">Organization Identifier Scheme</a>.", string
id,The identifier of the organization in the selected scheme.," string, integer"
legalName,The legally registered name of the organization., string
uri,"A URI to identify the organization, such as those provided by <a href=""http://www.opencorporates.com"">Open Corporates</a> or some other relevant URI provider. This is not for listing the website of the organization: that can be done through the url field of the Organization contact point.",uri string
