Field Name,Description,Format
source,"Used to point either to a corresponding Budget Data Package, or to a machine or human-readable source where users can find further information on the budget line item identifiers, or project identifiers, provided here.",uri string
id,An identifier for the budget line item which provides funds for this contracting process. This identifier should be possible to cross-reference against the provided data source.," string, integer"
description,"A short free text description of the budget source. May be used to provide the title of the budget line, or the programme used to fund this project.", string
amount,"The value of the budget line item. See <a href=""#value"">Value</a>",Reference
project,"The name of the project that through which this contracting process is funded (if applicable). Some organizations maintain a registry of projects, and the data should use the name by which the project is known in that registry. No translation option is offered for this string, as translated values can be provided in third-party data, linked from the data source above.", string
projectID,"An external identifier for the project that this contracting process forms part of, or is funded via (if applicable). Some organizations maintain a registry of projects, and the data should use the identifier from the relevant registry of projects."," string, integer"
uri,A URI pointing directly to a machine-readable record about the related budget or projects for this contracting process.,uri string
