Field Name,Description,Format
uri,The URI of this package that identifies it uniquely in the world.,uri string
publishedDate,The date that this package was published. Ideally this should be the latest date that there is release information in this package.,date-time string
releases," See <a href=""#http://ocds.open-contracting.org/standard/r/1__0__rc/release-schema.json"">http://ocds.open-contracting.org/standard/r/1<strong>0</strong>RC/release-schema.json</a> section for further details.",Object Array
publisher,Information to uniquely identify the publisher of this package., object
license,"A link to the license that applies to the data in this datapackage. A Public Domain Dedication or <a href=""http://opendefinition.org/licenses/"">Open Definition Conformant</a> license is strongly recommended. The canonical URI of the license should be used. Documents linked from this file may be under other license conditions. ",uri string
publicationPolicy,"A link to a document describing the publishers <a href=""http://ocds.open-contracting.org/standard/r/1__0__RC/en/implementation/publication_patterns/#publication-policy"">publication policy</a>.",uri string
