Field Name,Description,Format
id,"A local, unique identifier for this document. This field is used to keep track of multiple revisions of a document through the compilation from release to record mechanism."," string, integer"
documentType,"A classification of the document described taken from the <a href=""http://ocds.open-contracting.org/standard/r/1__0__RC/en/schema/codelists#document-type"">documentType codelist</a>. Values from the provided codelist should be used wherever possible, though extended values can be provided if the codelist does not have a relevant code.", string
title,The document title., string
description,"A short description of the document. We recommend descriptions do not exceed 250 words. In the event the document is not accessible online, the description field can be used to describe arrangements for obtaining a copy of the document.", string
url,direct link to the document or attachment. The server providing access to this document should be configured to correctly report the document mime type.,uri string
datePublished,The date on which the document was first published. This is particularly important for legally important documents such as notices of a tender.,date-time string
dateModified,Date that the document was last modified,date-time string
format,"The format of the document taken from the <a href=""http://www.iana.org/assignments/media-types/"">IANA Media Types code list</a>, with the addition of one extra value for 'offline/print', used when this document entry is being used to describe the offline publication of a document. Use values from the template column. Links to web pages should be tagged 'text/html'.", string
language,"Specifies the language of the linked document using either two-digit <a href=""https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes"">ISO 639-1</a>, or extended <a href=""http://www.w3.org/International/articles/language-tags/"">BCP47 language tags</a>. The use of two-letter codes from <a href=""https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes"">ISO 639-1</a> is strongly recommended unless there is a clear user need for distinguishing the language subtype.", string
