Field Name,Description,Format
uri,The URI of this package that identifies it uniquely in the world.,uri string
publisher,Information to uniquely identify the publisher of this package., object
license,"A link to the license that applies to the data in this datapackage. <a href=""http://opendefinition.org/licenses/"">Open Definition Conformant</a> licenses are strongly recommended. The canonical URI of the license should be used. Documents linked from this file may be under other license conditions. ",uri string
publicationPolicy,A link to a document describing the publishers publication policy.,uri string
publishedDate,The date that this package was published.,date-time string
packages,A list of URIs of all the release packages that were used to create this record package.,Array
records,The records for this data package. See [record](record) section for further details.,Object Array
