Code,Title,Description
terminatedSuccessfully,Terminated successfully,"The contract was concluded and in force, and is terminated due to its successful completion."
terminatedEarly,Terminated early,"The contract was concluded and in force, and is terminated early due to some non-completion."
cancelled,Cancelled,"The contracting process was cancelled by the buyer or the procuring entity (e.g. because of a change in needs, insufficient funds, or technical or procedural errors) after the award was made and the standstill period, if any, had ended."
unsuccessful,Unsuccessful,"The contract failed (e.g. the winning bidder(s) refused to sign the contract) after the award was made and the standstill period, if any, had ended, but before the contract was concluded and in force."
withdrawn,Withdrawn,No further information on the contract is available under this ocid.
