Code,Title,Description
open,Open,All potential suppliers can submit a bid.
selective,Selective,Only qualified potential suppliers are invited to submit a bid.
limited,Limited,The procuring entity contacts a number of potential suppliers of its choice.
direct,Direct,The contract is awarded to a single potential supplier without competition.
