Code,Title,Description
canonical,Canonical,Designates the preferred version of a release or compiled release.
prev,Previous,"Indicates that a release or compiled release is a part of a series, and that the previous in the series is the link target."
alternate,Alternate,Refers to a substitute or alternative representation of a release or compiled release.
