Code,Title,Description
framework,Framework agreement procedure first stage,This contracting process follows on from the related process to establish a framework. The suppliers on the framework are listed in the award section of the related process.
planning,Planning process,This contracting process follows on from the related planning process.
parent,Parent contract (for sub-contracts),This contracting process may result in a sub-contract of the related process. 
prior,Prior process,This contracting process is the renewal or replacement of the related prior process.
unsuccessfulProcess,Unsuccessful process,This contracting process follows on from an previous unsuccessful process.
subContract,Sub-contract,The related process may result in a sub-contract of this contract. 
replacementProcess,Replacement process,The related process may result in the replacement of this contract.
renewalProcess,Renewal process,The related process may result in the renewal of this contract.
