Code,Title,Description
UNCEFACT,UN/CEFACT Recommendation 20,"Use the common code from the latest version of the UN/CEFACT Recommendation 20 list of 'Codes for Units of Measure Used in International Trade'"
QUDT,"Quantities, Units, Dimensions and Data Types Ontologies","Use the [QUDT Code](http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html) value."
