Code,Title,Description
supplies,Goods and supplies,The primary object of this contracting process involves physical or electronic goods or supplies (such as electricity) 
works,Works,"The primary object of this contracting process involves construction, repair, rehabilitation, demolition, restoration or maintenance of some asset or infrastructure."
services,Services,"The primary object of this contracting process involves professional services of some form, generally contracted for on the basis of measurable outputs or deliverables. When the consultingServices code is also available or in use for data from a particular dataset, the service code must only be used for non-consulting services."
consultingServices,Consulting Services,The primary object of this contracting process involves professional services provided on a consultancy basis.
mixed,Mixed,"There is no identified primary object of this contracting process. The object of the contracting process involves two or more of supplies, works and services."
