Code,Title,Description
goods,Goods and supplies,This contracting process involves physical or electronic goods or supplies
works,Works,"This contracting process involves construction, repair, rehabilitation, demolition, restoration or maintenance of some asset or infrastructure."
services,Services,"This contracting process involves professional services of some form, generally contracted for on the basis of measurable outputs or deliverables. When the consultingServices code is also available or in use for data from a particular dataset, the service code must only be used for non-consulting services."
consultingServices,Consulting Services,This contracting process involves professional services provided on a consultancy basis.
